RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,CreditScore
0.3745401188473625,70,10,2.719028639331187,8850,8,19,1,8,1,613
0.9507143064099162,29,4,0.49933410568089087,7416,3,5,7,8,1,446
0.7319939418114051,79,0,3.440222219180069,2504,14,3,7,6,4,761
0.5986584841970366,25,2,1.2094444177707298,9924,11,14,9,1,2,785
0.15601864044243652,38,18,4.5553435138369185,4924,2,0,5,15,3,709
0.15599452033620265,87,6,4.191326797728524,9615,13,6,4,8,2,326
0.05808361216819946,89,11,3.5469148354369544,5485,16,11,7,12,2,328
0.8661761457749352,42,14,4.744229779155652,9100,18,9,3,18,4,570
0.6011150117432088,29,4,0.15710910755636465,9684,5,4,3,19,3,800
0.7080725777960455,32,14,3.68100212530381,1191,3,11,4,16,0,552
0.020584494295802447,76,7,1.6512138966820267,9690,6,17,0,5,3,684
0.9699098521619943,43,9,4.530329428431826,5917,18,9,0,3,0,359
0.8324426408004217,43,15,1.333375983309888,6831,16,5,1,0,3,406
0.21233911067827616,64,7,3.624282496575085,5322,15,11,7,17,1,519
0.18182496720710062,49,0,4.388235098253907,7999,14,6,6,18,3,740
0.18340450985343382,27,11,0.20828409191341213,8282,7,17,9,8,4,845
0.3042422429595377,33,4,1.9882378979601807,2874,18,1,8,12,0,395
0.5247564316322378,88,2,3.8115451601096932,5763,7,9,4,7,2,388
0.43194501864211576,34,0,2.274594447537935,9464,17,14,1,12,4,530
0.2912291401980419,40,3,1.3362631489679766,2051,15,11,6,14,0,574
0.6118528947223795,43,7,1.09902674411595,8538,19,16,7,10,0,545
0.13949386065204183,24,2,0.6575913345818896,8411,18,3,6,11,2,410
0.29214464853521815,31,9,4.285647799281412,7320,9,6,6,13,1,533
0.3663618432936917,24,1,2.8767770162577797,3105,16,8,4,3,4,577
0.45606998421703593,26,10,0.3819247249572799,1307,12,18,1,0,2,776
0.7851759613930136,65,9,1.9129016178531772,8737,12,6,5,3,2,716
0.19967378215835974,89,13,1.8386682540255495,4359,6,1,3,18,1,427
0.5142344384136116,76,6,0.9086959535473149,4176,9,5,9,8,4,536
0.5924145688620425,56,1,2.1775381273609535,2251,1,17,1,9,2,427
0.046450412719997725,35,8,1.6604968269656823,6366,3,5,8,3,1,693
0.6075448519014384,76,15,1.7090185274609127,2517,5,12,6,19,4,774
0.17052412368729153,34,12,3.6951327889397936,7226,17,18,5,8,3,694
0.06505159298527952,31,8,1.1163169275259817,6305,5,1,4,12,0,410
0.9488855372533332,48,19,3.209299794276777,6869,16,11,2,11,1,389
0.9656320330745594,41,3,2.8532481194046744,9039,13,14,9,10,0,579
0.8083973481164611,77,9,2.8404625616893364,5891,10,13,9,11,3,632
0.3046137691733707,62,11,3.3150367307088797,5992,18,5,3,17,2,523
0.09767211400638387,20,16,2.7419101809782696,2961,1,17,2,11,2,400
0.6842330265121569,54,13,4.3962755742319235,3863,2,4,7,15,4,431
0.4401524937396013,60,13,3.377900459751299,7603,10,17,2,4,1,312
0.12203823484477883,57,1,2.7348162568569405,5567,5,2,6,19,1,756
0.4951769101112702,72,19,4.1488156014382245,7513,13,2,6,11,4,740
0.034388521115218396,56,10,3.030732824667399,5005,18,9,6,10,0,397
0.9093204020787821,32,15,1.4557212389258951,1183,15,18,6,8,2,419
0.2587799816000169,21,18,1.0354745908828562,8755,6,2,1,17,2,592
0.662522284353982,42,5,0.761638928313394,4358,7,11,9,2,1,300
0.31171107608941095,30,18,4.497276062730508,7615,18,15,2,19,1,549
0.5200680211778108,50,4,3.550677158990329,7797,19,16,9,16,4,448
0.5467102793432796,33,3,4.686892190821604,9728,15,6,8,13,3,694
0.18485445552552704,59,14,3.0164590285747153,8678,6,12,2,0,0,343
0.9695846277645586,83,3,2.3670044074745626,6698,8,1,1,16,3,343
0.7751328233611146,72,19,0.2985824448544466,2273,12,3,8,7,3,377
0.9394989415641891,59,9,3.358211407730149,7653,0,9,9,4,1,525
0.8948273504276488,51,2,2.9110437988411557,2096,7,6,8,4,1,461
0.5978999788110851,47,4,4.951044467938107,9002,3,16,3,8,1,552
0.9218742350231168,30,5,1.1957938889112152,5247,2,19,8,2,3,431
0.0884925020519195,30,7,2.653686776434179,6314,2,5,2,18,0,747
0.1959828624191452,35,6,3.2547866755903634,4354,12,18,6,8,1,773
0.045227288910538066,49,9,3.222955873711718,1270,7,4,6,17,2,408
